accuracy,balanced_accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,tn,fp,fn,tp,unclassified,model,fold
0.7294407489529441,0.735685200761282,0.30627091517532373,0.7443422913719944,0.43397587877538396,0.7270281101505697,0.8123681540838902,0.38548700760980137,12699,4768,723,2105,0,Logistic Regression (C),4
0.730954962057751,0.7326731175462936,0.3060833701576079,0.7350548284400424,0.43219633943427616,0.7302914066525448,0.8094093710573614,0.39602586264760686,12756,4711,749,2078,0,Logistic Regression (C),5
0.7372129693505469,0.7369015064619606,0.312143928035982,0.7364697559250089,0.43845424871011895,0.7373332569989123,0.8121547572785137,0.3865837796297643,12879,4588,745,2082,0,Logistic Regression (C),6
0.7315462698334483,0.7331648629689471,0.3066824015341496,0.7354085603112841,0.4328544659587758,0.7309211656266101,0.8108780357336222,0.39140605648236876,12767,4700,748,2079,0,Logistic Regression (C),7
0.7327781610328176,0.7315487953074642,0.3070058009817046,0.7298444130127298,0.43220605172233273,0.7332531776021985,0.8092421347694959,0.3886747865680952,12807,4659,764,2064,0,Logistic Regression (C),8
0.7319404750172465,0.7365446603795679,0.30833577927795713,0.7429278642149929,0.4358017008919311,0.7301614565441429,0.8103431625736063,0.38625981865226766,12753,4713,727,2101,0,Logistic Regression (C),9
0.7281462501231891,0.7315250271653264,0.3038085509995622,0.7362093352192363,0.4301208552835451,0.7268407191114165,0.8068642070567168,0.38977646646471864,12695,4771,746,2082,0,Logistic Regression (C),10
0.7695491500369549,0.6909725869003818,0.32017117292355574,0.582036775106082,0.41310076546618146,0.7999083986946814,0.788515982330471,0.3553650432876675,13972,3495,1182,1646,0,Random Forest (C),1
0.7786646957378665,0.7085670602613018,0.33756345177664976,0.6113861386138614,0.43496855345911944,0.8057479819087422,0.8027094171275817,0.3715752450444677,14074,3393,1099,1729,0,Random Forest (C),2
0.7760039418576004,0.6982787870179767,0.33017002767892445,0.5905233380480905,0.42353537915292927,0.8060342359878628,0.7996526527412493,0.3670668323497237,14079,3388,1158,1670,0,Random Forest (C),3
0.7740330130574034,0.7055799159441416,0.331350729086723,0.6106789250353607,0.4296019900497513,0.8004809068529226,0.8024335584847857,0.36295880281595505,13982,3485,1101,1727,0,Random Forest (C),4
0.7693406918300976,0.6993821124190143,0.3237642585551331,0.6024053767244428,0.42116977865710403,0.7963588481135856,0.799145213119959,0.3586206308048907,13910,3557,1124,1703,0,Random Forest (C),5
0.776337833842515,0.7025574771762748,0.33235409322365844,0.6002829854969933,0.42783310223118626,0.8048319688555562,0.8008169693443246,0.365787519714591,14058,3409,1130,1697,0,Random Forest (C),6
0.7749088400512467,0.7076569614551744,0.3330776605944391,0.6144322603466572,0.43198209400646603,0.8008816625636915,0.8054245664405033,0.37160858693196785,13989,3478,1090,1737,0,Random Forest (C),7
0.7747117374593476,0.7004924580891126,0.3298204527712724,0.5975954738330976,0.4250503018108652,0.8033894423451277,0.8007070435168363,0.3605927218270675,14032,3434,1138,1690,0,Random Forest (C),8
0.7729378141322558,0.7064261727492864,0.3306052531404644,0.6142149929278642,0.4298440979955456,0.7986373525707088,0.7995969255118572,0.36841283151568904,13949,3517,1091,1737,0,Random Forest (C),9
0.7734798462599783,0.6977023130491878,0.32727982815856277,0.5926449787835927,0.42168826267455023,0.802759647314783,0.79254317258295,0.3544920796182066,14021,3445,1152,1676,0,Random Forest (C),10
0.6003449125400345,0.7011392224043578,0.2368761828867417,0.8408769448373409,0.36962772985155823,0.5614014999713746,0.7632866328900351,0.34847824426739316,9806,7661,450,2378,0,Gaussian Naive Bayes (C),1
0.6070953436807095,0.7093580649029907,0.24166666666666667,0.8511315417256011,0.3764466687519549,0.5675845880803801,0.7718661879192033,0.3480182532451719,9914,7553,421,2407,0,Gaussian Naive Bayes (C),2
0.6138457748213846,0.7150578816275006,0.24565857621610643,0.8553748231966054,0.3816962524654832,0.5747409400583958,0.7769546477175913,0.35298418527499753,10039,7428,409,2419,0,Gaussian Naive Bayes (C),3
0.6051244148805125,0.7104357183872048,0.24147557328015953,0.8564356435643564,0.37673044019287605,0.5644357932100532,0.7724555899267391,0.341366203606732,9859,7608,406,2422,0,Gaussian Naive Bayes (C),4
0.6057948162018331,0.7109593229814597,0.24178895877009085,0.8567385921471524,0.37714107754593584,0.5651800538157669,0.7705082821395539,0.33996042736950605,9872,7595,405,2422,0,Gaussian Naive Bayes (C),5
0.6044643737065143,0.7085557911630378,0.24057074436240272,0.8528475415634948,0.375282123122422,0.5642640407625809,0.7750578082366609,0.35155629720110537,9856,7611,416,2411,0,Gaussian Naive Bayes (C),6
0.6061397457376565,0.7101220171428829,0.2415966386554622,0.8542624690484613,0.37666692661623646,0.5659815652373046,0.7753981235300874,0.3468919987306929,9886,7581,412,2415,0,Gaussian Naive Bayes (C),7
0.6054498866660096,0.7095864043635556,0.2412828454391048,0.8539603960396039,0.37625613461089036,0.5652124126875071,0.7723348259888558,0.3489133333568669,9872,7594,413,2415,0,Gaussian Naive Bayes (C),8
0.6047600275943629,0.7121491526637083,0.24197555400973864,0.861032531824611,0.3777829493445039,0.5632657735028055,0.7764565943515881,0.3564130370907039,9838,7628,393,2435,0,Gaussian Naive Bayes (C),9
0.6002266679806839,0.706255584703585,0.23865097418652953,0.8532531824611033,0.3729809104258443,0.5592579869460667,0.7646065963518373,0.34112864728758885,9768,7698,415,2413,0,Gaussian Naive Bayes (C),10
